PERM,BVO,PORO
0.1528,0.0212327,0.05144816
0.2889,0.0247711,0.05509021
0.2978,0.0252023,0.05357084
0.1394,0.0243843,0.04750837
0.114,0.0213269,0.04702219
0.1372,0.0220504,0.05173989
0.2776,0.0274865,0.06076142
0.1603,0.0317326,0.06813735
0.2583,0.0286261,0.06298333
0.1296,0.02261,0.05115602
0.114,0.0212062,0.0442925
0.2607,0.0276441,0.05590107
0.1991,0.0310881,0.06272433
0.3346,0.025639,0.05888694
0.1289,0.0222358,0.04854631
0.2705,0.0292363,0.05709816
0.1013,0.0369079,0.06825216
0.2262,0.0301734,0.05900737
0.3005,0.0237814,0.05066655
0.1138,0.0210067,0.03836781
0.1162,0.0215982,0.03731393
0.1168,0.0217688,0.04150656
0.0817,0.018278,0.05107161
0.2752,0.0282835,0.06016692
0.043,0.0546627,0.09142313
0.1811,0.0708879,0.10982605
1.3142,0.0806673,0.1244049
0.733,0.0782918,0.12334675
0.6694,0.0760438,0.12169783
0.2183,0.0619401,0.10622525
0.0505,0.0455777,0.08442625
0.2736,0.0282619,0.06072304
0.1147,0.0213932,0.04867245
0.0988,0.0190868,0.04680422
0.097,0.0197528,0.05235365
0.2668,0.0228501,0.05802791
0.0964,0.0175275,0.05146294
0.08,0.0183796,0.05037036
0.2667,0.0228519,0.05760087
0.2237,0.0242226,0.05606876
0.1411,0.0183914,0.0541004
0.2008,0.0208541,0.05344627
0.1695,0.0268616,0.06304324
0.2046,0.0225224,0.05877015
0.2447,0.0207386,0.05651357
0.1002,0.0181015,0.05052509
0.1088,0.0200831,0.05111115
0.1636,0.0194874,0.05364561
0.1551,0.0197328,0.05631521
0.1801,0.0234069,0.0617518
0.1452,0.018624,0.05462962
0.2172,0.0212427,0.05352289
0.1475,0.0190307,0.05278339
0.2245,0.0251871,0.06204037
0.2223,0.0250384,0.06223759
0.1956,0.0230395,0.06200294
0.0996,0.0209681,0.06137245
0.0982,0.0209654,0.06037111
0.1517,0.0194637,0.05719786
0.0728,0.0260104,0.06650953
0.0765,0.0233783,0.06466186
0.1034,0.017812,0.05739831
0.134,0.0179402,0.05517166
0.1337,0.0178612,0.05425548
0.2473,0.0208448,0.05764538
0.243,0.0224906,0.05895625
0.0964,0.0165335,0.05118772
0.0502,0.020623,0.04938629
0.1111,0.0175935,0.05092355
0.2702,0.0215197,0.0551141
0.1043,0.0172307,0.05303913
0.1638,0.0202484,0.05795908
0.0706,0.0289082,0.07084745
0.0454,0.0307526,0.07133472
0.161,0.0276811,0.06366113
0.2733,0.024311,0.05770268
0.0987,0.0177885,0.05068075
0.1017,0.0186893,0.05046876
0.2561,0.0211206,0.05470626
0.267,0.0229759,0.05615532
0.2345,0.0533664,0.03909128
0.0222,0.0715449,0.08118481
0.0046,0.0837641,0.10482933
10.6848,0.1065476,0.13405075
3.0779,0.1101475,0.13625386
9.4193,0.1182459,0.14219128
2.0694,0.1033964,0.12548749
0.2469,0.0927609,0.11253847
0.1796,0.0721812,0.08897791
0.0598,0.0652007,0.07774567
0.0275,0.0767995,0.08828553
12.0988,0.1185096,0.12837872
111.7723,0.1239214,0.13353414
125.5223,0.126369,0.13465557
3.1202,0.1115254,0.11859409
3.1528,0.1098001,0.11830758
1.7739,0.1063111,0.1151131
286.3869,0.1241921,0.13394506
374.983,0.1394264,0.15022478
223.7407,0.1608322,0.1729008
297.5786,0.1687909,0.18151291
201.3376,0.1766422,0.19255448
131.1716,0.1782527,0.19605216
202.1893,0.1865615,0.20669662
24.1418,0.1941098,0.21602193
42.1083,0.2060485,0.23349821
31.7904,0.2052718,0.23966465
10.3356,0.2058485,0.24027318
10.0707,0.1942097,0.22572824
15.9417,0.1853482,0.22176207
12.5433,0.1812848,0.2188172
5.0759,0.1731019,0.20907204
1.0501,0.1592108,0.19483273
0.2509,0.1567848,0.19247153
12.4992,0.1569474,0.18983188
5.8661,0.1626834,0.19333009
11.7995,0.1653399,0.19345827
10.704,0.1692774,0.19572496
11.9136,0.1739448,0.20111645
19.856,0.1742987,0.20245018
31.2043,0.1697687,0.19790701
14.9924,0.17181,0.1989017
19.3689,0.1672968,0.1936545
16.5053,0.1787235,0.2053765
22.3156,0.1875221,0.21415032
695.8666,0.2029556,0.23039419
17.5751,0.200899,0.22846173
65.4758,0.1861448,0.21222397
50.59,0.1812765,0.20814649
34.9433,0.1797137,0.20595631
24.0834,0.1846159,0.21489028
187.4756,0.1725648,0.20246045
12.6013,0.1678019,0.19836797
39.9978,0.1748206,0.20217981
36.3331,0.1756507,0.20354498
45.3024,0.1721242,0.20198812
18.2072,0.1626696,0.19313708
10.7498,0.1480527,0.17716341
9.2857,0.1514562,0.1789319
9.1987,0.1447641,0.17186457
15.0002,0.1432816,0.17087273
11.9994,0.1291959,0.15630501
22.3995,0.1235245,0.15075033
102.0909,0.1322517,0.15804601
9.2059,0.1200824,0.14435568
8.1169,0.1161956,0.1380528
0.0508,0.1164144,0.14074336
0.0002,0.1302346,0.15629234
1.6789,0.1305088,0.15724247
3.3498,0.1285981,0.15879167
2.9795,0.1316957,0.164524
1.6533,0.134791,0.16978693
1.797,0.1395437,0.17543747
1.918,0.1457048,0.18134349
2.0502,0.1572607,0.18981511
2.1822,0.1596806,0.19287251
2.3149,0.1634842,0.1967999
2.4473,0.1639294,0.19784207
1.0011,0.1614082,0.19819565
0.9616,0.1612709,0.20085967
0.6544,0.1671086,0.2084112
29.2378,0.1706396,0.21533272
8.3706,0.1632374,0.20561429
1.26,0.1483876,0.19066748
1.3235,0.1336153,0.17639136
0.5805,0.1188548,0.16158379
7.6048,0.1308915,0.175578
1.9011,0.1429681,0.18872591
